trace,num_requests,num_objects,req_gib,obj_gib,compulsory_miss_ratio,obj_size_req,obj_size_obj,freq_mean,time_span_sec,onehit_count,onehit_ratio
tencentBlock.ns7496.oracleGeneral.zst,14089011,425145,0.0131,0.0004,0.0302,1.0,1.0,33.1393,781199,75022,0.1765
tencentBlock.ns7487.oracleGeneral.zst,3195618,657564,0.003,0.0006,0.2058,1.0,1.0,4.8598,781199,275853,0.4195
tencentBlock.ns7482.oracleGeneral.zst,9145006,105202,0.0085,0.0001,0.0115,1.0,1.0,86.9281,781199,21649,0.2058
tencentBlock.ns7471.oracleGeneral.zst,1680957,144338,0.0016,0.0001,0.0859,1.0,1.0,11.646,781199,7723,0.0535
tencentBlock.ns7464.oracleGeneral.zst,7595320,487516,0.0071,0.0005,0.0642,1.0,1.0,15.5796,781199,121069,0.2483
tencentBlock.ns7463.oracleGeneral.zst,3686443,179505,0.0034,0.0002,0.0487,1.0,1.0,20.5367,781199,49434,0.2754
tencentBlock.ns7454.oracleGeneral.zst,1248289,183159,0.0012,0.0002,0.1467,1.0,1.0,6.8153,781199,33485,0.1828
tencentBlock.ns7449.oracleGeneral.zst,27674862,1210639,0.0258,0.0011,0.0437,1.0,1.0,22.8597,781199,275886,0.2279
tencentBlock.ns7440.oracleGeneral.zst,2944616,225069,0.0027,0.0002,0.0764,1.0,1.0,13.0832,781198,137035,0.6089
tencentBlock.ns7436.oracleGeneral.zst,2259879,149627,0.0021,0.0001,0.0662,1.0,1.0,15.1034,781196,7166,0.0479
tencentBlock.ns7432.oracleGeneral.zst,3129297,281174,0.0029,0.0003,0.0899,1.0,1.0,11.1294,781197,69450,0.247
tencentBlock.ns7429.oracleGeneral.zst,2177059,279753,0.002,0.0003,0.1285,1.0,1.0,7.7821,781198,54572,0.1951
tencentBlock.ns7422.oracleGeneral.zst,9234203,103452,0.0086,0.0001,0.0112,1.0,1.0,89.2607,781199,20159,0.1949
tencentBlock.ns7414.oracleGeneral.zst,1858800,225467,0.0017,0.0002,0.1213,1.0,1.0,8.2442,781198,143116,0.6348
tencentBlock.ns7409.oracleGeneral.zst,1537344,151068,0.0014,0.0001,0.0983,1.0,1.0,10.1765,781199,3952,0.0262
tencentBlock.ns7406.oracleGeneral.zst,6720069,148253,0.0063,0.0001,0.0221,1.0,1.0,45.3284,781199,37058,0.25
tencentBlock.ns7400.oracleGeneral.zst,2116654,135006,0.002,0.0001,0.0638,1.0,1.0,15.6782,781199,31756,0.2352
tencentBlock.ns7390.oracleGeneral.zst,3845926,104655,0.0036,0.0001,0.0272,1.0,1.0,36.7486,781199,21751,0.2078
tencentBlock.ns7387.oracleGeneral.zst,2874393,261906,0.0027,0.0002,0.0911,1.0,1.0,10.9749,781196,75369,0.2878
tencentBlock.ns7381.oracleGeneral.zst,2905207,155569,0.0027,0.0001,0.0535,1.0,1.0,18.6747,781199,37407,0.2405
tencentBlock.ns7378.oracleGeneral.zst,48753372,2810214,0.0454,0.0026,0.0576,1.0,1.0,17.3486,781198,289940,0.1032
tencentBlock.ns7369.oracleGeneral.zst,1364954,233272,0.0013,0.0002,0.1709,1.0,1.0,5.8513,781198,67972,0.2914
tencentBlock.ns7347.oracleGeneral.zst,4530253,220981,0.0042,0.0002,0.0488,1.0,1.0,20.5006,781198,93352,0.4224
tencentBlock.ns7336.oracleGeneral.zst,3821758,400969,0.0036,0.0004,0.1049,1.0,1.0,9.5313,781199,95345,0.2378
tencentBlock.ns7327.oracleGeneral.zst,11184753,527785,0.0104,0.0005,0.0472,1.0,1.0,21.1919,781199,129228,0.2448
tencentBlock.ns7321.oracleGeneral.zst,5683091,549928,0.0053,0.0005,0.0968,1.0,1.0,10.3342,781199,124245,0.2259
